split,cell_emb,drug_emb,model,variant,inert_embedding,grouping,metric,value,se,n_seeds_or_folds,n_units,run_dir
loclo_loo,gene_jepa,molformer,lightgbm,full,none,within_cell_line,AUROC,0.5224769374701861,0.003600407970971891,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__molformer__lightgbm
loclo_loo,gene_jepa,molformer,lightgbm,full,none,overall,MCC,0.0342857210034116,0.0244371675205987,12,,results/zenodo/grid/loclo_loo__gene_jepa__molformer__lightgbm
loclo_loo,gene_jepa,molformer,lightgbm,full,none,overall,AUROC,0.5224769374701861,0.0277146362495399,12,,results/zenodo/grid/loclo_loo__gene_jepa__molformer__lightgbm
loclo_loo,gene_jepa,molformer,mlp,full,none,within_drug,MCC,-0.04565111753469355,0.006317876698553212,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__molformer__mlp
loclo_loo,gene_jepa,molformer,mlp,full,none,within_drug,AUROC,0.47795416086609016,0.0026324465670255434,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__molformer__mlp
loclo_loo,gene_jepa,molformer,mlp,full,none,within_cell_line,MCC,0.016195840487229714,0.006657677497031057,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__molformer__mlp
loclo_loo,gene_jepa,molformer,mlp,full,none,within_cell_line,AUROC,0.5200550315731491,0.0020391855719883124,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__molformer__mlp
loclo_loo,gene_jepa,molformer,mlp,full,none,overall,MCC,0.0161958404872297,0.0202462506926135,12,,results/zenodo/grid/loclo_loo__gene_jepa__molformer__mlp
loclo_loo,gene_jepa,molformer,mlp,full,none,overall,AUROC,0.520055031573149,0.0202790894580268,12,,results/zenodo/grid/loclo_loo__gene_jepa__molformer__mlp
loclo_loo,gene_jepa,molformer,xrfm,full,none,within_drug,MCC,-0.0004224235663795913,0.007580944762505943,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__molformer__xrfm
loclo_loo,gene_jepa,molformer,xrfm,full,none,within_drug,AUROC,0.4949264028487282,0.0048901378695302405,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__molformer__xrfm
loclo_loo,gene_jepa,molformer,xrfm,full,none,within_cell_line,MCC,0.0635833559474497,0.006599163063176486,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__molformer__xrfm
loclo_loo,gene_jepa,molformer,xrfm,full,none,within_cell_line,AUROC,0.5532302684560427,0.004843596921073975,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__molformer__xrfm
loclo_loo,gene_jepa,molformer,xrfm,full,none,overall,MCC,0.0635833559474497,0.0375619416605685,12,,results/zenodo/grid/loclo_loo__gene_jepa__molformer__xrfm
loclo_loo,gene_jepa,molformer,xrfm,full,none,overall,AUROC,0.5532302684560426,0.0338031743951421,12,,results/zenodo/grid/loclo_loo__gene_jepa__molformer__xrfm
loclo_loo,gene_jepa,morgan,lightgbm,full,none,within_drug,MCC,-0.034011090503689986,0.005613939932308225,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__morgan__lightgbm
loclo_loo,gene_jepa,morgan,lightgbm,full,none,within_drug,AUROC,0.4728391389826061,0.0021260798026204123,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__morgan__lightgbm
loclo_loo,gene_jepa,morgan,lightgbm,full,none,within_cell_line,MCC,0.033202741766777406,0.002978646740708456,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__morgan__lightgbm
loclo_loo,gene_jepa,morgan,lightgbm,full,none,within_cell_line,AUROC,0.5126913848966463,0.001800656722614955,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__morgan__lightgbm
loclo_loo,gene_jepa,morgan,lightgbm,full,none,overall,MCC,0.0332027417667774,0.0291086002771749,12,,results/zenodo/grid/loclo_loo__gene_jepa__morgan__lightgbm
